state,pincode,year,quater,registered_user
andaman & nicobar islands,744205,2022,q2,2162
andaman & nicobar islands,744103,2022,q3,16666
andaman & nicobar islands,744105,2022,q3,14503
andaman & nicobar islands,744101,2022,q3,13649
andaman & nicobar islands,744102,2022,q3,9148
andaman & nicobar islands,744202,2022,q3,4572
andaman & nicobar islands,744107,2022,q3,3868
andaman & nicobar islands,744104,2022,q3,3493
andaman & nicobar islands,744112,2022,q3,2837
andaman & nicobar islands,744211,2022,q3,2577
andaman & nicobar islands,744205,2022,q3,2268
andaman & nicobar islands,744103,2022,q4,17406
andaman & nicobar islands,744105,2022,q4,15185
andaman & nicobar islands,744101,2022,q4,14337
andaman & nicobar islands,744102,2022,q4,9591
andaman & nicobar islands,744202,2022,q4,4760
andaman & nicobar islands,744107,2022,q4,4051
andaman & nicobar islands,744104,2022,q4,3647
andaman & nicobar islands,744112,2022,q4,2975
andaman & nicobar islands,744211,2022,q4,2679
andaman & nicobar islands,744205,2022,q4,2358
andhra pradesh,517501,2018,q1,39884
andhra pradesh,530016,2018,q1,34201
andhra pradesh,517507,2018,q1,34111
andhra pradesh,515001,2018,q1,31964
andhra pradesh,516001,2018,q1,29078
andhra pradesh,518002,2018,q1,29043
andhra pradesh,530026,2018,q1,26889
andhra pradesh,516360,2018,q1,26187
andhra pradesh,520010,2018,q1,24397
andhra pradesh,524002,2018,q1,23439
andhra pradesh,517501,2018,q2,53468
andhra pradesh,517507,2018,q2,45241
andhra pradesh,530016,2018,q2,43386
andhra pradesh,515001,2018,q2,42466
andhra pradesh,516001,2018,q2,38402
andhra pradesh,518002,2018,q2,37593
andhra pradesh,516360,2018,q2,34544
andhra pradesh,530026,2018,q2,34126
andhra pradesh,520010,2018,q2,31871
andhra pradesh,524002,2018,q2,31134
andhra pradesh,517501,2018,q3,65157
andhra pradesh,517507,2018,q3,54849
andhra pradesh,530016,2018,q3,52259
andhra pradesh,515001,2018,q3,51449
andhra pradesh,516001,2018,q3,46691
andhra pradesh,518002,2018,q3,45145
andhra pradesh,516360,2018,q3,41963
andhra pradesh,530026,2018,q3,40580
andhra pradesh,520010,2018,q3,38918
andhra pradesh,524002,2018,q3,37559
andhra pradesh,517501,2018,q4,82873
andhra pradesh,517507,2018,q4,70421
andhra pradesh,530016,2018,q4,65549
andhra pradesh,515001,2018,q4,63576
andhra pradesh,516001,2018,q4,58028
andhra pradesh,518002,2018,q4,55735
andhra pradesh,516360,2018,q4,52058
andhra pradesh,530026,2018,q4,51900
andhra pradesh,520010,2018,q4,48991
andhra pradesh,524002,2018,q4,46616
andhra pradesh,517501,2019,q1,100561
andhra pradesh,517507,2019,q1,85980
andhra pradesh,530016,2019,q1,77790
andhra pradesh,515001,2019,q1,75171
andhra pradesh,516001,2019,q1,68514
andhra pradesh,518002,2019,q1,66689
andhra pradesh,530026,2019,q1,61623
andhra pradesh,516360,2019,q1,60798
andhra pradesh,520010,2019,q1,59055
andhra pradesh,524002,2019,q1,55931
andhra pradesh,517501,2019,q2,113033
andhra pradesh,517507,2019,q2,97534
andhra pradesh,530016,2019,q2,87556
andhra pradesh,515001,2019,q2,84157
andhra pradesh,516001,2019,q2,76617
andhra pradesh,518002,2019,q2,75952
andhra pradesh,530026,2019,q2,68283
andhra pradesh,516360,2019,q2,66885
andhra pradesh,520010,2019,q2,66082
andhra pradesh,524002,2019,q2,62933
andhra pradesh,517501,2019,q3,124727
andhra pradesh,517507,2019,q3,108199
andhra pradesh,530016,2019,q3,97323
andhra pradesh,515001,2019,q3,93191
andhra pradesh,518002,2019,q3,84918
andhra pradesh,516001,2019,q3,84693
andhra pradesh,530026,2019,q3,74501
andhra pradesh,516360,2019,q3,73267
andhra pradesh,520010,2019,q3,72722
andhra pradesh,524002,2019,q3,69783
andhra pradesh,517501,2019,q4,136436
andhra pradesh,517507,2019,q4,119146
andhra pradesh,530016,2019,q4,106404
andhra pradesh,515001,2019,q4,102848
andhra pradesh,516001,2019,q4,94209
andhra pradesh,518002,2019,q4,94193
andhra pradesh,516360,2019,q4,81619
andhra pradesh,530026,2019,q4,81191
andhra pradesh,520010,2019,q4,79453
andhra pradesh,524002,2019,q4,77681
andhra pradesh,517501,2020,q1,146823
andhra pradesh,517507,2020,q1,129214
andhra pradesh,530016,2020,q1,114042
andhra pradesh,515001,2020,q1,111359
andhra pradesh,518002,2020,q1,102905
andhra pradesh,516001,2020,q1,102893
andhra pradesh,516360,2020,q1,89774
andhra pradesh,530026,2020,q1,87449
andhra pradesh,524002,2020,q1,85878
andhra pradesh,520010,2020,q1,85779
andhra pradesh,517501,2020,q2,156221
andhra pradesh,517507,2020,q2,138735
andhra pradesh,530016,2020,q2,120621
andhra pradesh,515001,2020,q2,119223
andhra pradesh,518002,2020,q2,112673
andhra pradesh,516001,2020,q2,111898
andhra pradesh,516360,2020,q2,98803
andhra pradesh,524002,2020,q2,93834
andhra pradesh,530026,2020,q2,93224
andhra pradesh,520010,2020,q2,91299
andhra pradesh,517501,2020,q3,166768
andhra pradesh,517507,2020,q3,149001
andhra pradesh,515001,2020,q3,128227
andhra pradesh,530016,2020,q3,128059
andhra pradesh,518002,2020,q3,121529
andhra pradesh,516001,2020,q3,120997
andhra pradesh,516360,2020,q3,108073
andhra pradesh,524002,2020,q3,102103
andhra pradesh,530026,2020,q3,99754
andhra pradesh,520010,2020,q3,97752
andhra pradesh,517501,2020,q4,178328
andhra pradesh,517507,2020,q4,160062
andhra pradesh,515001,2020,q4,137945
andhra pradesh,530016,2020,q4,136049
andhra pradesh,518002,2020,q4,130871
andhra pradesh,516001,2020,q4,130500
andhra pradesh,516360,2020,q4,117397
andhra pradesh,524002,2020,q4,110746
andhra pradesh,530026,2020,q4,106320
andhra pradesh,520010,2020,q4,104956
andhra pradesh,517501,2021,q1,190712
andhra pradesh,517507,2021,q1,171417
andhra pradesh,515001,2021,q1,147941
andhra pradesh,530016,2021,q1,145206
andhra pradesh,518002,2021,q1,140153
andhra pradesh,516001,2021,q1,139840
andhra pradesh,516360,2021,q1,126260
andhra pradesh,524002,2021,q1,118730
andhra pradesh,530026,2021,q1,113581
andhra pradesh,520010,2021,q1,112324
andhra pradesh,517501,2021,q2,203005
andhra pradesh,517507,2021,q2,182425
andhra pradesh,515001,2021,q2,157649
andhra pradesh,530016,2021,q2,154509
andhra pradesh,518002,2021,q2,149368
andhra pradesh,516001,2021,q2,148851
andhra pradesh,516360,2021,q2,134622
andhra pradesh,524002,2021,q2,126459
andhra pradesh,530026,2021,q2,120973
andhra pradesh,520010,2021,q2,119561
andhra pradesh,517501,2021,q3,216777
andhra pradesh,517507,2021,q3,194860
andhra pradesh,515001,2021,q3,168654
andhra pradesh,530016,2021,q3,164812
andhra pradesh,518002,2021,q3,159802
andhra pradesh,516001,2021,q3,158891
andhra pradesh,516360,2021,q3,144068
andhra pradesh,524002,2021,q3,135136
andhra pradesh,530026,2021,q3,129270
andhra pradesh,520010,2021,q3,127618
andhra pradesh,517501,2021,q4,230688
andhra pradesh,517507,2021,q4,207174
andhra pradesh,515001,2021,q4,179763
andhra pradesh,530016,2021,q4,175300
andhra pradesh,518002,2021,q4,170267
andhra pradesh,516001,2021,q4,169158
andhra pradesh,516360,2021,q4,153381
andhra pradesh,524002,2021,q4,143764
andhra pradesh,530026,2021,q4,137812
andhra pradesh,520010,2021,q4,135719
andhra pradesh,517501,2022,q1,243791
andhra pradesh,517507,2022,q1,218905
andhra pradesh,515001,2022,q1,190203
andhra pradesh,530016,2022,q1,185094
andhra pradesh,518002,2022,q1,180102
andhra pradesh,516001,2022,q1,179007
andhra pradesh,516360,2022,q1,162263
andhra pradesh,524002,2022,q1,151939
andhra pradesh,530026,2022,q1,145842
andhra pradesh,520010,2022,q1,143308
andhra pradesh,517501,2022,q2,256290
andhra pradesh,517507,2022,q2,229983
andhra pradesh,515001,2022,q2,200266
andhra pradesh,530016,2022,q2,194513
andhra pradesh,518002,2022,q2,189505
andhra pradesh,516001,2022,q2,188295
andhra pradesh,516360,2022,q2,170855
andhra pradesh,524002,2022,q2,159834
andhra pradesh,530026,2022,q2,153586
andhra pradesh,520010,2022,q2,150546
andhra pradesh,517501,2022,q3,269370
andhra pradesh,517507,2022,q3,241720
andhra pradesh,515001,2022,q3,210661
andhra pradesh,530016,2022,q3,204230
andhra pradesh,518002,2022,q3,199354
andhra pradesh,516001,2022,q3,197910
andhra pradesh,516360,2022,q3,179806
andhra pradesh,524002,2022,q3,168015
andhra pradesh,530026,2022,q3,161715
andhra pradesh,520010,2022,q3,158071
andhra pradesh,517501,2022,q4,282766
andhra pradesh,517507,2022,q4,253314
andhra pradesh,515001,2022,q4,221328
andhra pradesh,530016,2022,q4,214155
andhra pradesh,518002,2022,q4,209376
andhra pradesh,516001,2022,q4,207725
andhra pradesh,516360,2022,q4,188768
andhra pradesh,524002,2022,q4,176415
andhra pradesh,530026,2022,q4,169957
andhra pradesh,520010,2022,q4,165734
arunachal pradesh,791110,2018,q1,2316
arunachal pradesh,791111,2018,q1,2203
arunachal pradesh,791113,2018,q1,1475
arunachal pradesh,791102,2018,q1,1471
arunachal pradesh,790104,2018,q1,1139
arunachal pradesh,791001,2018,q1,969
arunachal pradesh,791109,2018,q1,857
arunachal pradesh,792103,2018,q1,829
arunachal pradesh,792001,2018,q1,828
