state,pincode,year,quater,transaction_count,transaction_amount
andaman & nicobar islands,744102,2021,q4,58258,174623253.47653326
andaman & nicobar islands,744211,2021,q4,27938,94222862.10725296
andaman & nicobar islands,744104,2021,q4,25662,69245386.0816525
andaman & nicobar islands,744202,2021,q4,21913,67790798.04849821
andaman & nicobar islands,744107,2021,q4,21397,52036029.9980372
andaman & nicobar islands,744112,2021,q4,18915,55448543.43365714
andaman & nicobar islands,744301,2021,q4,14553,47792330.70050094
andaman & nicobar islands,744101,2022,q1,209941,615978080.6944855
andaman & nicobar islands,744103,2022,q1,157230,399715980.1391735
andaman & nicobar islands,744105,2022,q1,122716,321850608.7396423
andaman & nicobar islands,744102,2022,q1,74883,193336549.94178736
andaman & nicobar islands,744104,2022,q1,32471,72915521.83614868
andaman & nicobar islands,744211,2022,q1,30272,86955570.58655271
andaman & nicobar islands,744107,2022,q1,25379,58776727.62636636
andaman & nicobar islands,744202,2022,q1,24022,68519268.77643085
andaman & nicobar islands,744112,2022,q1,23471,55469783.6622991
andaman & nicobar islands,744301,2022,q1,17630,56879992.28461884
andaman & nicobar islands,744101,2022,q2,252722,702122365.3629664
andaman & nicobar islands,744103,2022,q2,230746,561168775.5622396
andaman & nicobar islands,744105,2022,q2,176252,415796516.6034926
andaman & nicobar islands,744102,2022,q2,101551,240451609.192299
andaman & nicobar islands,744104,2022,q2,47069,94335358.34017953
andaman & nicobar islands,744211,2022,q2,40245,108788594.62847154
andaman & nicobar islands,744107,2022,q2,36402,82851064.58195859
andaman & nicobar islands,744112,2022,q2,32548,70178309.12885833
andaman & nicobar islands,744202,2022,q2,27750,84587978.8405464
andaman & nicobar islands,744301,2022,q2,26170,74485462.68044695
andaman & nicobar islands,744104,2022,q3,497273,951370315.4090765
andaman & nicobar islands,744103,2022,q3,259994,545653686.3062732
andaman & nicobar islands,744101,2022,q3,213864,444967255.802143
andaman & nicobar islands,744105,2022,q3,208055,438754611.5375265
andaman & nicobar islands,744102,2022,q3,114416,239581586.790242
andaman & nicobar islands,744107,2022,q3,40466,85492008.49477127
andaman & nicobar islands,744112,2022,q3,38350,74030563.48358011
andaman & nicobar islands,744211,2022,q3,37918,89671382.06901146
andaman & nicobar islands,744202,2022,q3,29918,85509005.84576747
andaman & nicobar islands,744301,2022,q3,27668,70002553.35288173
andaman & nicobar islands,744104,2022,q4,684366,1309407988.2902
andaman & nicobar islands,744103,2022,q4,304600,612929267.1773143
andaman & nicobar islands,744105,2022,q4,258097,505662756.1128938
