state,year,quater,district,registered_user,app_opening
andhra pradesh,2020,q1,prakasam ,748655,26870693
andhra pradesh,2020,q1,anantapur ,971850,36900103
andhra pradesh,2020,q1,kurnool ,936293,34198350
andhra pradesh,2020,q1,guntur ,1289678,45282758
andhra pradesh,2020,q1,krishna ,1331602,46079408
andhra pradesh,2020,q1,spsr nellore ,775440,28879364
andhra pradesh,2020,q1,vizianagaram ,490683,21562104
andhra pradesh,2020,q1,ysr ,717865,26166193
andhra pradesh,2020,q1,west godavari ,843835,24542868
andhra pradesh,2020,q1,chittoor ,1270907,51354573
andhra pradesh,2020,q2,east godavari ,1459116,45884498
andhra pradesh,2020,q2,srikakulam ,608002,23808009
andhra pradesh,2020,q2,visakhapatnam ,1904719,69684456
andhra pradesh,2020,q2,prakasam ,830709,32255276
andhra pradesh,2020,q2,anantapur ,1076953,39704703
andhra pradesh,2020,q2,kurnool ,1035093,36268390
andhra pradesh,2020,q2,guntur ,1426271,44267596
andhra pradesh,2020,q2,krishna ,1459041,41234166
andhra pradesh,2020,q2,spsr nellore ,854459,30816403
andhra pradesh,2020,q2,vizianagaram ,537798,24370380
andhra pradesh,2020,q2,ysr ,796769,29644037
andhra pradesh,2020,q2,west godavari ,944829,26583613
andhra pradesh,2020,q2,chittoor ,1385916,49820171
andhra pradesh,2020,q3,east godavari ,1601940,64292857
andhra pradesh,2020,q3,srikakulam ,667858,31794753
andhra pradesh,2020,q3,visakhapatnam ,2058346,102589371
andhra pradesh,2020,q3,prakasam ,915240,44970519
andhra pradesh,2020,q3,anantapur ,1186851,55714787
andhra pradesh,2020,q3,kurnool ,1132240,49164718
andhra pradesh,2020,q3,guntur ,1567595,62427501
andhra pradesh,2020,q3,krishna ,1599289,61028114
andhra pradesh,2020,q3,spsr nellore ,937176,43951448
andhra pradesh,2020,q3,vizianagaram ,587784,31199437
andhra pradesh,2020,q3,ysr ,877909,41578067
andhra pradesh,2020,q3,west godavari ,1053674,38126238
andhra pradesh,2020,q3,chittoor ,1506503,69462572
andhra pradesh,2020,q4,east godavari ,1746280,82605352
andhra pradesh,2020,q4,srikakulam ,726761,36770992
andhra pradesh,2020,q4,visakhapatnam ,2209658,124730170
andhra pradesh,2020,q4,prakasam ,999462,52839846
andhra pradesh,2020,q4,anantapur ,1295872,69562398
andhra pradesh,2020,q4,kurnool ,1230466,60615045
andhra pradesh,2020,q4,guntur ,1712940,81291172
andhra pradesh,2020,q4,krishna ,1744028,81787771
andhra pradesh,2020,q4,spsr nellore ,1022944,54765443
andhra pradesh,2020,q4,vizianagaram ,634462,35110885
andhra pradesh,2020,q4,ysr ,959182,49596303
andhra pradesh,2020,q4,west godavari ,1163179,51170162
andhra pradesh,2020,q4,chittoor ,1631331,88232999
andhra pradesh,2021,q1,east godavari ,1878769,91478749
andhra pradesh,2021,q1,srikakulam ,782604,40590058
andhra pradesh,2021,q1,visakhapatnam ,2368081,135908324
andhra pradesh,2021,q1,prakasam ,1075936,56911479
andhra pradesh,2021,q1,anantapur ,1394849,73375049
andhra pradesh,2021,q1,kurnool ,1323411,65326230
andhra pradesh,2021,q1,guntur ,1843237,92731167
andhra pradesh,2021,q1,krishna ,1876458,92941553
andhra pradesh,2021,q1,spsr nellore ,1100541,60691988
andhra pradesh,2021,q1,vizianagaram ,681621,37752539
andhra pradesh,2021,q1,ysr ,1032689,53525815
andhra pradesh,2021,q1,west godavari ,1254117,57392671
andhra pradesh,2021,q1,chittoor ,1751420,99083825
andhra pradesh,2021,q2,east godavari ,2006272,84705076
andhra pradesh,2021,q2,srikakulam ,837958,43740255
andhra pradesh,2021,q2,visakhapatnam ,2526830,114313154
andhra pradesh,2021,q2,prakasam ,1151232,76850749
andhra pradesh,2021,q2,anantapur ,1492738,104568606
andhra pradesh,2021,q2,kurnool ,1415585,81894678
andhra pradesh,2021,q2,guntur ,1968681,88248064
andhra pradesh,2021,q2,krishna ,2002662,85771678
andhra pradesh,2021,q2,spsr nellore ,1176334,74049216
andhra pradesh,2021,q2,vizianagaram ,729509,42684475
andhra pradesh,2021,q2,ysr ,1103004,72255265
andhra pradesh,2021,q2,west godavari ,1339377,65118788
andhra pradesh,2021,q2,chittoor ,1870723,110505432
andhra pradesh,2021,q3,east godavari ,2150622,103626560
andhra pradesh,2021,q3,srikakulam ,902008,48622126
andhra pradesh,2021,q3,visakhapatnam ,2707931,139540800
andhra pradesh,2021,q3,prakasam ,1239147,91533813
andhra pradesh,2021,q3,anantapur ,1606735,124985545
andhra pradesh,2021,q3,kurnool ,1522196,101210508
andhra pradesh,2021,q3,guntur ,2110878,106621413
andhra pradesh,2021,q3,krishna ,2145423,104358295
andhra pradesh,2021,q3,spsr nellore ,1263550,90102349
andhra pradesh,2021,q3,vizianagaram ,784444,46277311
andhra pradesh,2021,q3,ysr ,1183377,86369956
andhra pradesh,2021,q3,west godavari ,1436576,80244808
andhra pradesh,2021,q3,chittoor ,2007011,135043395
andhra pradesh,2021,q4,east godavari ,2294347,142536856
andhra pradesh,2021,q4,srikakulam ,965335,61654215
andhra pradesh,2021,q4,visakhapatnam ,2888774,188757640
andhra pradesh,2021,q4,prakasam ,1325728,86410317
andhra pradesh,2021,q4,anantapur ,1719437,120768682
andhra pradesh,2021,q4,kurnool ,1628242,97379271
andhra pradesh,2021,q4,guntur ,2252443,130920743
andhra pradesh,2021,q4,krishna ,2288148,134436469
andhra pradesh,2021,q4,spsr nellore ,1349290,90814672
andhra pradesh,2021,q4,vizianagaram ,839606,56101822
andhra pradesh,2021,q4,ysr ,1262963,83534122
andhra pradesh,2021,q4,west godavari ,1532898,100007280
andhra pradesh,2021,q4,chittoor ,2141818,154395512
andhra pradesh,2022,q1,east godavari ,2432305,87134562
andhra pradesh,2022,q1,srikakulam ,1027283,46691467
andhra pradesh,2022,q1,visakhapatnam ,3061324,88803090
andhra pradesh,2022,q1,prakasam ,1408929,104851997
andhra pradesh,2022,q1,anantapur ,1827094,155792533
andhra pradesh,2022,q1,kurnool ,1729513,119653214
andhra pradesh,2022,q1,guntur ,2387051,88844052
andhra pradesh,2022,q1,krishna ,2423373,85871644
andhra pradesh,2022,q1,spsr nellore ,1431664,101671767
andhra pradesh,2022,q1,vizianagaram ,892889,44804002
andhra pradesh,2022,q1,ysr ,1339782,98878499
andhra pradesh,2022,q1,west godavari ,1626039,87642475
andhra pradesh,2022,q1,chittoor ,2270705,144146671
andhra pradesh,2022,q2,east godavari ,2564165,93383888
andhra pradesh,2022,q2,srikakulam ,1086164,51087942
andhra pradesh,2022,q2,visakhapatnam ,3226029,93552701
andhra pradesh,2022,q2,prakasam ,1487589,108172758
andhra pradesh,2022,q2,anantapur ,1928213,181499094
andhra pradesh,2022,q2,kurnool ,1825280,136447455
andhra pradesh,2022,q2,guntur ,2514794,91997209
andhra pradesh,2022,q2,krishna ,2552107,95341487
andhra pradesh,2022,q2,spsr nellore ,1509927,108755384
andhra pradesh,2022,q2,vizianagaram ,943242,50230853
andhra pradesh,2022,q2,ysr ,1412848,106157470
andhra pradesh,2022,q2,west godavari ,1714357,103338893
andhra pradesh,2022,q2,chittoor ,2392549,158771722
andhra pradesh,2022,q3,east godavari ,2702234,85780890
andhra pradesh,2022,q3,srikakulam ,1147016,46323107
andhra pradesh,2022,q3,visakhapatnam ,3397514,87888969
andhra pradesh,2022,q3,prakasam ,1567520,114185009
andhra pradesh,2022,q3,anantapur ,2030824,181038520
andhra pradesh,2022,q3,kurnool ,1924127,143715547
andhra pradesh,2022,q3,guntur ,2647100,91146114
andhra pradesh,2022,q3,krishna ,2685215,86220959
andhra pradesh,2022,q3,spsr nellore ,1588875,105928407
andhra pradesh,2022,q3,vizianagaram ,995141,46767889
andhra pradesh,2022,q3,ysr ,1487140,107976611
andhra pradesh,2022,q3,west godavari ,1805967,97509407
andhra pradesh,2022,q3,chittoor ,2517657,162524274
andhra pradesh,2022,q4,east godavari ,2835087,173720880
andhra pradesh,2022,q4,srikakulam ,1204785,72666058
andhra pradesh,2022,q4,visakhapatnam ,3566854,208604256
andhra pradesh,2022,q4,prakasam ,1642503,94432083
andhra pradesh,2022,q4,anantapur ,2128066,136685634
andhra pradesh,2022,q4,kurnool ,2018290,105333688
andhra pradesh,2022,q4,guntur ,2774365,144773169
andhra pradesh,2022,q4,krishna ,2813645,156902257
andhra pradesh,2022,q4,spsr nellore ,1663684,103101986
andhra pradesh,2022,q4,vizianagaram ,1044490,64406405
andhra pradesh,2022,q4,ysr ,1556901,93975668
andhra pradesh,2022,q4,west godavari ,1893310,129116752
andhra pradesh,2022,q4,chittoor ,2636036,189655966
arunachal pradesh,2018,q1,lower subansiri ,498,0
arunachal pradesh,2018,q1,tirap ,557,0
arunachal pradesh,2018,q1,papum pare ,7649,0
arunachal pradesh,2018,q1,anjaw ,278,0
arunachal pradesh,2018,q1,lower siang ,270,0
arunachal pradesh,2018,q1,dibang valley ,66,0
arunachal pradesh,2018,q1,west kameng ,2202,0
arunachal pradesh,2018,q1,shi yomi ,49,0
arunachal pradesh,2018,q1,east kameng ,222,0
arunachal pradesh,2018,q1,lohit ,1207,0
arunachal pradesh,2018,q1,lepa rada ,210,0
arunachal pradesh,2018,q1,lower dibang valley ,601,0
arunachal pradesh,2018,q1,longding ,256,0
arunachal pradesh,2018,q1,west siang ,846,0
arunachal pradesh,2018,q1,kamle ,22,0
arunachal pradesh,2018,q1,upper siang ,301,0
arunachal pradesh,2018,q1,kurung kumey ,97,0
arunachal pradesh,2018,q1,siang ,192,0
arunachal pradesh,2018,q1,kra daadi ,88,0
arunachal pradesh,2018,q1,changlang ,1208,0
arunachal pradesh,2018,q1,pakke kessang ,39,0
arunachal pradesh,2018,q1,east siang ,1803,0
arunachal pradesh,2018,q1,upper subansiri ,572,0
arunachal pradesh,2018,q1,tawang ,1525,0
arunachal pradesh,2018,q1,namsai ,737,0
arunachal pradesh,2018,q2,lower subansiri ,724,0
arunachal pradesh,2018,q2,tirap ,856,0
arunachal pradesh,2018,q2,papum pare ,11418,0
arunachal pradesh,2018,q2,anjaw ,410,0
arunachal pradesh,2018,q2,lower siang ,494,0
arunachal pradesh,2018,q2,dibang valley ,112,0
arunachal pradesh,2018,q2,west kameng ,3442,0
arunachal pradesh,2018,q2,shi yomi ,80,0
arunachal pradesh,2018,q2,east kameng ,343,0
arunachal pradesh,2018,q2,lohit ,1898,0
arunachal pradesh,2018,q2,lepa rada ,318,0
arunachal pradesh,2018,q2,lower dibang valley ,893,0
arunachal pradesh,2018,q2,longding ,412,0
arunachal pradesh,2018,q2,west siang ,1224,0
arunachal pradesh,2018,q2,kamle ,37,0
arunachal pradesh,2018,q2,upper siang ,481,0
arunachal pradesh,2018,q2,kurung kumey ,153,0
arunachal pradesh,2018,q2,siang ,293,0
arunachal pradesh,2018,q2,kra daadi ,144,0
arunachal pradesh,2018,q2,changlang ,2014,0
arunachal pradesh,2018,q2,pakke kessang ,66,0
arunachal pradesh,2018,q2,east siang ,2646,0
arunachal pradesh,2018,q2,upper subansiri ,883,0
arunachal pradesh,2018,q2,tawang ,2266,0
