state,year,quater,district,transaction_count,transaction_amount
arunachal pradesh,2019,q3,tawang,24097,72221026.28393415
arunachal pradesh,2019,q3,east siang,22611,58040119.9573143
arunachal pradesh,2019,q3,namsai,13453,25507641.015596062
arunachal pradesh,2019,q3,west siang,11889,30014806.816802975
arunachal pradesh,2019,q3,tirap,11249,21737827.19336869
arunachal pradesh,2019,q3,longding,10269,26620415.019238282
arunachal pradesh,2019,q4,papum pare,143272,378838002.3434037
arunachal pradesh,2019,q4,west kameng,66740,198205637.50055438
arunachal pradesh,2019,q4,changlang,33963,71874990.9639822
arunachal pradesh,2019,q4,tawang,30077,91949243.6071119
arunachal pradesh,2019,q4,lohit,29281,67502324.59236205
arunachal pradesh,2019,q4,east siang,26605,72075285.44344108
arunachal pradesh,2019,q4,namsai,18290,32501252.235055387
arunachal pradesh,2019,q4,tirap,16459,38467790.7269052
arunachal pradesh,2019,q4,west siang,14581,39460255.46641725
arunachal pradesh,2019,q4,lower subansiri,11806,29634357.486805215
arunachal pradesh,2020,q1,papum pare,180373,457430754.15953165
arunachal pradesh,2020,q1,west kameng,75363,198712422.2374845
arunachal pradesh,2020,q1,changlang,43858,93461363.58699805
arunachal pradesh,2020,q1,lohit,36985,83701268.27182505
arunachal pradesh,2020,q1,east siang,33743,82011539.42531273
arunachal pradesh,2020,q1,tawang,31865,84425193.41571434
arunachal pradesh,2020,q1,namsai,23112,46444942.9567038
arunachal pradesh,2020,q1,west siang,19728,47929440.73153875
arunachal pradesh,2020,q1,tirap,18369,40877851.79372531
arunachal pradesh,2020,q1,lower subansiri,15770,34273250.7179902
arunachal pradesh,2020,q2,papum pare,221728,535085907.3404856
arunachal pradesh,2020,q2,west kameng,95421,251395972.22505814
arunachal pradesh,2020,q2,changlang,69279,128572447.99797386
arunachal pradesh,2020,q2,lohit,56541,114730675.47714494
arunachal pradesh,2020,q2,east siang,55680,112693868.80998959
arunachal pradesh,2020,q2,tawang,44499,121561732.24171817
arunachal pradesh,2020,q2,namsai,34972,54870798.314045325
arunachal pradesh,2020,q2,west siang,32777,72790231.05472675
arunachal pradesh,2020,q2,tirap,28830,63497030.840810165
arunachal pradesh,2020,q2,lower dibang valley,26234,42360072.52689613
arunachal pradesh,2020,q3,papum pare,298350,859373863.7202578
arunachal pradesh,2020,q3,west kameng,111029,332812237.8096209
arunachal pradesh,2020,q3,changlang,73842,159158438.92541084
arunachal pradesh,2020,q3,east siang,69710,176323789.94437826
arunachal pradesh,2020,q3,lohit,65889,156523653.1864311
arunachal pradesh,2020,q3,tawang,56016,182137862.72423625
arunachal pradesh,2020,q3,namsai,37019,76484566.53480485
arunachal pradesh,2020,q3,west siang,34295,92449732.96070345
arunachal pradesh,2020,q3,tirap,30046,81539831.5295825
arunachal pradesh,2020,q3,lower dibang valley,27655,63469161.328603886
arunachal pradesh,2020,q4,papum pare,390528,1205917753.7046227
